Sample	Library_Flowcell_Lane	Raw reads	Raw data	Effective(%)	Error(%)	Q20(%)	Q30(%)	GC(%)
DNA62_3	EKDN240030201-1A_HCGKLDSXC_L2	113906762	17.1	98.24	0.03	97.78	93.75	40.47
DNA63_3	EKDN240030202-1A_HCGKLDSXC_L2	70042154	10.5	96.80	0.03	96.94	92.19	34.28
DNA65_3	EKDN240030204-1A_HCGKLDSXC_L2	99738160	15.0	97.73	0.03	97.61	93.53	35.43
DNA66_3	EKDN240030205-1A_HCGKLDSXC_L2	93134708	14.0	98.90	0.03	97.63	93.38	38.22
DNA67_3	EKDN240030206-1A_HCGKLDSXC_L2	86863036	13.0	99.16	0.03	97.69	93.44	36.83
DNA68_3	EKDN240030207-1A_HCGCHDSXC_L1	17479358	15.7	99.00	0.03	97.60	93.52	40.63
DNA68_3	EKDN240030207-1A_HCGKLDSXC_L2	87491122		98.99	0.03	97.84	93.89	40.77
DNA69_3	EKDN240030208-1A_HCGKLDSXC_L2	81956316	16.2	98.62	0.03	97.42	93.11	40.60
DNA69_3	EKDN240030208-1A_HCGCHDSXC_L1	25729358		98.61	0.03	97.05	92.54	40.48
DNA13_1	EKDN240030209-1A_HCGCHDSXC_L1	8042828	15.6	98.73	0.03	96.99	92.42	38.79
DNA13_1	EKDN240030209-1A_HCGKLDSXC_L2	96088412		98.74	0.03	97.24	92.82	38.94
DNA19_5	EKDN240030210-1A_HCGKLDSXC_L2	113609128	17.0	98.91	0.03	97.13	92.38	35.72
DNA24_1	EKDN240030211-1A_HCGKLDSXC_L2	64820058	9.7	98.94	0.03	97.41	92.93	36.47
DNA27_1	EKDN240030212-1A_HCGKLDSXC_L2	91113764	13.7	98.85	0.03	97.01	92.07	34.75
DNA32_1	EKDN240030213-1A_HCGKLDSXC_L2	104612128	15.7	98.76	0.03	97.59	93.24	35.84
DNA41_4	EKDN240030214-1A_HCGKLDSXC_L2	107803670	16.2	99.10	0.03	97.63	93.25	33.43
DNA42_3	EKDN240030215-1A_HCGKLDSXC_L2	117230314	17.6	99.18	0.03	97.34	92.71	37.31
DNA42_5	EKDN240030216-1A_HCGKLDSXC_L2	106202630	15.9	98.83	0.03	97.02	92.17	39.28
